Absinthe Pub & Coffee Shop		, 43.774543, -79.501192
Atkinson Cafeteria				,
Berries & Blooms 				,
Blumont Bistro 					,
Booster Juice 					,
Central Square Cafeteria 		,
Complex 1 Cafeteria 			,
Complex 2 Cafeteria 			,
Country Style Kosher Deli 		,
Cucinetta Italian Cafe 			,
Executive Dining Hall			,
Falafel Hut Village 			,
Freshii 						,
Gino’s Pizza 					,
Great Canadian Bagel (The)		,
Hero Burger 					,
Indian Flavours 				,
Jimmy the Greek 				,
La Prep 						,
Mac’s Sushi 					,
Orange Snail Pub				,
Osgoode Bistro 					,
Pagoda Tree 					,
Pizza Pizza 					,
POD Market (The) 				,
Popeye’s Louisiana Chicken 		,
Qoola Frozen Yogurt Bar 		,
Sakura Japanese Restaurant		,
Starbuck’s Coffee, Fine Arts Lobby ,
TEL Café 						,
Thai Express					, 
The Campus Bubble Tea 			,
The Islands 					,
The Second Cup 					,
The Underground Restaurant		,
Tim Hortons 					,
Tim Hortons 					,
Tim Hortons 					,
Timothy’s Market Café 			,
Treats Café Emporium 			,
Tuchner’s Eatery				,
Wendy’s 						,
Yogen Fruz 						,
z-teca Gourmet Burrito 			,
